"tenkm","cbc_code","index90","index10","diff","easting","northing"
"IB91","J.",0,0.1138613861,0.1138613861,11310,582237
"IC01","J.",0.1027227723,0.120049505,0.0173267327,21287,581378
"IC03","J.",0.0816831683,0.1695544554,0.0878712871,23007,601331
"IC12","J.",0,0.1262376238,0.1262376238,32123,590495
"IC23","J.",0,0.3626237624,0.3626237624,42958,599610
"IC50","J.",0,0.3774752475,0.3774752475,70302,567114
"IC61","J.",0.0903465347,0,-0.090346535,81131,576229
"IC63","J.",0.1559405941,0.3824257426,0.2264851485,82849,596171
"IC72","J.",0.2339108911,0.3032178218,0.0693069307,91960,585341
"IC73","J.",0,0.4071782178,0.4071782178,92819,595311
"IC80","J.",0,0.3762376238,0.3762376238,100214,564544
"IC81","J.",0,0.129950495,0.129950495,101071,574513
"IC83","J.",0.1027227723,0,-0.102722772,102788,594452
"IC90","J.",0,0.1212871287,0.1212871287,110183,563687
"IC91","J.",0,0.1101485149,0.1101485149,111040,573656
"ID02","J.",0.0408415842,0,-0.040841584,121866,582766
"ID12","J.",0,0.1027227723,0.1027227723,131833,581908
"ID20","J.",0.0655940594,0,-0.065594059,140085,561119
"ID22","J.",0.1188118812,0.1806930693,0.0618811881,141799,581050
"ID23","J.",0,0.1150990099,0.1150990099,142657,591015
"ID31","J.",0,0.14427157,0.14427157,150906,570227
"IG10","J.",0.1150990099,0,-0.11509901,-77947,479267
"IG52","J.",0,0.2623762376,0.2623762376,-36306,495835
"IG61","J.",0,0.2561881188,0.2561881188,-27174,485002
"IG62","J.",0.1150990099,0.504950495,0.3898514851,-26324,494984
"IG73","J.",0,0.1175742574,0.1175742574,-15491,504114
"IG80","J.",0.3787128713,0,-0.378712871,-8061,473322
"IG81","J.",0,0.1212871287,0.1212871287,-7212,483302
"IG82","J.",0,0.1361386139,0.1361386139,-6362,493282
"IG90","J.",0,0.1410891089,0.1410891089,1919,472473
"IG98","J.",0,0.1472772277,0.1472772277,8738,552303
"IH05","J.",0.2475247525,0,-0.247524752,16152,521515
"IH08","J.",0,0.3242574257,0.3242574257,18715,551447
"IH10","J.",0,0.2512376238,0.2512376238,21876,470776
"IH13","J.",0,0.2574257426,0.2574257426,24425,500708
"IH14","J.",0,0.25,0.25,25277,510685
"IH16","J.",0.1126237624,0.2413366337,0.1287128713,26982,530639
"IH18","J.",0,0.125,0.125,28692,550591
"IH20","J.",0.1349009901,0.2524752475,0.1175742574,31853,469928
"IH22","J.",0,0.1386138614,0.1386138614,33551,489881
"IH25","J.",0.0618811881,0.1138613861,0.051980198,36105,519809
"IH27","J.",0,1,1,37813,539760
"IH30","J.",0.1410891089,0.3564356436,0.2153465347,41829,469080
"IH32","J.",0.2772277228,0,-0.277227723,43527,489031
"IH36","J.",0.3527227723,0,-0.352722772,46934,528931
"IH43","J.",0,0.3762376238,0.3762376238,54352,498156
"IH46","J.",0.2574257426,0.1064356436,-0.150990099,56908,528078
"IH49","J.",0,0.2215346535,0.2215346535,59473,557998
"IH52","J.",0,0.1225247525,0.1225247525,63476,487332
"IH54","J.",0.1435643564,0.2141089109,0.0705445545,65177,507278
"IH63","J.",0,0.2141089109,0.2141089109,74298,496455
"IH67","J.",0,0.2487623762,0.2487623762,77707,536343
"IH74","J.",0.228960396,0.3638613861,0.1349009901,85121,505576
"IH75","J.",0.1089108911,0.103960396,-0.004950495,85973,515547
"IH76","J.",0.1113861386,0.1188118812,0.0074257426,86825,525518
"IH77","J.",0.1175742574,0.1435643564,0.025990099,87678,535489
"IH78","J.",0,0.7277227723,0.7277227723,88533,545460
"IH84","J.",0,0.1101485149,0.1101485149,95092,504725
"IH85","J.",0,0.2698019802,0.2698019802,95943,514695
"IH86","J.",0,0.1237623762,0.1237623762,96795,524665
"IH87","J.",0.2475247525,0,-0.247524752,97649,534635
"IH90","J.",0,0.1237623762,0.1237623762,101666,463995
"IH92","J.",0,0.146039604,0.146039604,103362,483935
"IH94","J.",0.0891089109,0.0977722772,0.0086633663,105062,503874
"IH97","J.",0,1,1,107618,533781
"IH99","J.",0.1336633663,0.2165841584,0.0829207921,109327,553719
"IJ01","J.",0.1237623762,0.3898514851,0.2660891089,112483,473117
"IJ02","J.",0,0.25,0.25,113331,483086
"IJ03","J.",0.1287128713,0.1608910891,0.0321782178,114180,493055
"IJ04","J.",0.120049505,0.2599009901,0.1398514851,115030,503023
"IJ07","J.",0,1,1,117587,532928
"IJ08","J.",0.25,0.2339108911,-0.016089109,118441,542896
"IJ10","J.",0,0.254950495,0.254950495,121604,462302
"IJ12","J.",0.0977722772,0.2165841584,0.1188118812,123299,482237
"IJ17","J.",0,0.1435643564,0.1435643564,127554,532074
"IJ18","J.",0.099009901,0.504950495,0.4059405941,128408,542041
"IJ19","J.",0,0.25,0.25,129263,552008
"IJ21","J.",0.1002475248,0.2004950495,0.1002475248,132418,471422
"IJ23","J.",0.0482673267,0,-0.048267327,134115,491356
"IJ26","J.",0.0309405941,0.1163366337,0.0853960396,136668,521255
"IJ28","J.",0,0.0965346535,0.0965346535,138374,541187
"IJ29","J.",0,0.0829207921,0.0829207921,139229,551153
"IJ32","J.",0.073019802,0.146039604,0.073019802,143233,480540
"IJ33","J.",0.2388613861,0.2388613861,0,144082,490506
"IJ36","J.",0.0841584158,0.2314356436,0.1472772277,146634,520403
"IJ37","J.",0.0358910891,0,-0.035891089,147486,530368
"IJ38","J.",0.0829207921,0,-0.082920792,148340,540333
"IJ44","J.",0.3304455446,0.396039604,0.0655940594,154896,499622
"IJ46","J.",0,0.2574257426,0.2574257426,156599,519551
"IJ47","J.",0,0.5569306931,0.5569306931,157451,529515
"IJ48","J.",0,0.1225247525,0.1225247525,158304,539479
"IJ54","J.",0,0.0804455446,0.0804455446,164861,498772
"IJ55","J.",0,0.1237623762,0.1237623762,165711,508735
"IJ66","J.",0,0.1150990099,0.1150990099,176525,517847
"IL74","J.",0,0.2487623762,0.2487623762,-122990,422719
"IL97","J.",0,0.1188118812,0.1188118812,-100470,450999
"IL98","J.",0,0.2376237624,0.2376237624,-99622,460989
"IM04","J.",0,0.3589108911,0.3589108911,-93018,420185
"IM07","J.",0,0.1336633663,0.1336633663,-90481,450152
"IM14","J.",0,0.125,0.125,-83030,419341
"IM20","J.",0,0.1089108911,0.1089108911,-76410,378547
"IM23","J.",0.129950495,0,-0.129950495,-73885,408510
"IM41","J.",0,0.2425742574,0.2425742574,-55596,386853
"IM50","J.",0.1126237624,0.2438118812,0.1311881188,-46451,376027
"IM54","J.",0.0618811881,0,-0.061881188,-43085,415966
"IM63","J.",0.1113861386,0,-0.111386139,-33944,405139
"IM64","J.",0.1212871287,0,-0.121287129,-33101,415122
"IM65","J.",0.1237623762,0,-0.123762376,-32257,425106
"IM67","J.",0,0.2599009901,0.2599009901,-30567,445072
"IM68","J.",0.1175742574,0,-0.117574257,-29720,455054
"IM74","J.",0,0.1150990099,0.1150990099,-23118,414279
"IM76","J.",0.2462871287,0,-0.246287129,-21430,434244
"IM83","J.",0,0.125,0.125,-13978,403455
"IM90","J.",0.125,0.1163366337,-0.008663366,-6519,372670
"IM92","J.",0.3898514851,0.1175742574,-0.272277228,-4839,392632
"IM96","J.",0.1101485149,0.1237623762,0.0136138614,-1468,432554
"IN01","J.",0.1311881188,0.1138613861,-0.017326733,4301,381811
"IN05","J.",0,0.2685643564,0.2685643564,7668,421730
"IN09","J.",0,0.2475247525,0.2475247525,11050,461646
"IN10","J.",0.2165841584,0,-0.216584158,13442,370993
"IN15","J.",0,0.7376237624,0.7376237624,17647,420886
"IN16","J.",0.1349009901,0.1435643564,0.0086633663,18491,430865
"IN21","J.",0,0.2301980198,0.2301980198,24259,380132
"IN28","J.",0,0.3502475248,0.3502475248,30159,449975
"IN30","J.",0,0.2995049505,0.2995049505,33398,369316
"IN32","J.",0,0.1324257426,0.1324257426,35077,389270
"IN34","J.",0.1212871287,0,-0.121287129,36759,409223
"IN35","J.",0.323019802,0,-0.323019802,37602,419200
"IN36","J.",0,0.3675742574,0.3675742574,38445,429176
"IN44","J.",0.1126237624,0,-0.112623762,46735,408381
"IN45","J.",0.1361386139,0,-0.136138614,47578,418357
"IN46","J.",0,0.4814356436,0.4814356436,48421,428332
"IN50","J.",0,0.1175742574,0.1175742574,53351,367640
"IN52","J.",0.1101485149,0.1225247525,0.0123762376,55028,387590
"IN54","J.",0.1311881188,0,-0.131188119,56710,407539
"IN58","J.",0.1324257426,0.2326732673,0.1002475248,60085,447437
"IN60","J.",0.1423267327,0.1361386139,-0.006188119,63325,366802
"IN62","J.",0.1311881188,0,-0.131188119,65003,386750
"IN63","J.",0,0.1237623762,0.1237623762,65843,396724
"IN64","J.",0.1287128713,0,-0.128712871,66684,406698
"IN69","J.",0,0.1472772277,0.1472772277,70905,456564
"IN70","J.",0,0.1188118812,0.1188118812,73299,365964
"IN72","J.",0,0.3787128713,0.3787128713,74976,385910
"IN73","J.",0,0.301980198,0.301980198,75817,395883
"IN78","J.",0.1150990099,0,-0.11509901,80031,445746
"IN79","J.",0.1485148515,0,-0.148514851,80877,455718
"IN83","J.",0,0.1287128713,0.1287128713,85789,395043
"IN84","J.",0.2772277228,0,-0.277227723,86630,405015
"IN90","J.",0,0.2462871287,0.2462871287,93244,364289
"IN91","J.",0.1311881188,0.495049505,0.3638613861,94082,374260
"IN98","J.",0,0.1324257426,0.1324257426,99974,444055
"IO03","J.",0,0.2116336634,0.2116336634,105731,393362
"IO10","J.",0,0.6646039604,0.6646039604,113185,362615
"IO12","J.",0,0.1089108911,0.1089108911,114861,382553
"IO13","J.",0,0.254950495,0.254950495,115700,392522
"IO21","J.",0.2103960396,0.3564356436,0.146039604,123991,371746
"IO22","J.",0,0.1225247525,0.1225247525,124829,381714
"IO23","J.",0,0.1188118812,0.1188118812,125669,391682
"IQ81","J.",0,0.0841584158,0.0841584158,-123898,291975
"IR05","J.",0,0.1287128713,0.1287128713,-100578,330276
"IR28","J.",0,0.120049505,0.120049505,-78088,358571
"IR29","J.",0.1386138614,0.1089108911,-0.02970297,-77250,368559
"IR30","J.",0,0.1349009901,0.1349009901,-74773,277828
"IR34","J.",0,0.245049505,0.245049505,-71445,317782
"IR36","J.",0.2722772277,0,-0.272277228,-69775,337758
"IR37","J.",0,0.120049505,0.120049505,-68938,347745
"IR38","J.",0,0.3267326733,0.3267326733,-68101,357733
"IR41","J.",0.120049505,0,-0.120049505,-63955,286986
"IR44","J.",0.1361386139,0.5148514851,0.3787128713,-61457,316948
"IR45","J.",0,0.1386138614,0.1386138614,-60623,326935
"IR47","J.",0,0.1423267327,0.1423267327,-58951,346908
"IR49","J.",0,0.2376237624,0.2376237624,-57276,366881
"IR50","J.",0.1126237624,0,-0.112623762,-54798,276168
"IR56","J.",0.1212871287,0.2611386139,0.1398514851,-49801,336086
"IR58","J.",0,0.1175742574,0.1175742574,-48128,356057
"IR59","J.",0,0.3415841584,0.3415841584,-47290,366042
"IR65","J.",0,0.1336633663,0.1336633663,-40651,325265
"IR66","J.",0.0952970297,0,-0.09529703,-39816,335250
"IR67","J.",0,0.1373762376,0.1373762376,-38980,345235
"IR69","J.",0.1485148515,0.1485148515,0,-37305,365204
"IR70","J.",0,0.1225247525,0.1225247525,-34826,274509
"IR75","J.",0,0.4839108911,0.4839108911,-30667,324431
"IR76","J.",0.1274752475,0.1448019802,0.0173267327,-29832,334415
"IR77","J.",0.1237623762,0,-0.123762376,-28996,344398
"IR78","J.",0.125,0.1287128713,0.0037128713,-28159,354382
"IR82","J.",0.1707920792,0.0915841584,-0.079207921,-23181,293647
"IR83","J.",0,0.224009901,0.224009901,-22350,303631
"IR85","J.",0,0.1262376238,0.1262376238,-20683,323597
"IR89","J.",0.2611386139,0.129950495,-0.131188119,-17339,363527
"IR90","J.",0,0.1856435644,0.1856435644,-14859,272851
"IR92","J.",0.2314356436,0.1472772277,-0.084158416,-13198,292816
"IR94","J.",0.3824257426,0.2351485149,-0.147277228,-11534,312781
"IR96","J.",0.1423267327,0,-0.142326733,-9866,332744
"IS00","J.",0,0.0668316832,0.0668316832,-4876,272022
"IS05","J.",0.1287128713,0,-0.128712871,-719,321929
"IS09","J.",0.1336633663,0,-0.133663366,2624,361851
"IS10","J.",0.1262376238,0.1707920792,0.0445544554,5105,271193
"IS11","J.",0.1212871287,0.3886138614,0.2673267327,5934,281174
"IS12","J.",0,0.2153465347,0.2153465347,6764,291154
"IS14","J.",0.2004950495,0,-0.20049505,8428,311115
"IS21","J.",0,0.1893564356,0.1893564356,15914,280344
"IS22","J.",0.1398514851,0.1373762376,-0.002475248,16744,290324
"IS23","J.",0,0.1311881188,0.1311881188,17575,300303
"IS24","J.",0,0.1188118812,0.1188118812,18407,310282
"IS25","J.",0.2475247525,0,-0.247524752,19241,320261
"IS29","J.",0,0.129950495,0.129950495,22582,360176
"IS32","J.",0.1188118812,0.3972772277,0.2784653465,26723,289493
"IS34","J.",0.1287128713,0.1150990099,-0.013613861,28386,309450
"IS36","J.",0.2698019802,0,-0.26980198,30053,329406
"IS41","J.",0.0853960396,0.150990099,0.0655940594,35872,278685
