sp_rich,win_var_500,win_var_1000,win_var_2000,elev_var,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,0.08898649240719242,0.013161213044486366,0.0015613916760225672,14214.357477663563,-19.523443600938368,83.78255874177918,24.841064418969882,8401.474640399652,149.79964020554172,-181.41067633005588,331.2103165355976,83.30159848556454,-44.970762352363394,92.4037235889568,-123.27192454223115,524.0471517752123,65.88576752588135,31.480552491766545,21.890930154684504,165.05861448521335,98.27245522664532,160.39600977273136,121.17813804225418
1,0.10215511550706363,0.016329712736322343,0.002084317222586869,18899.606843754722,1.7195112049821473,69.51437024397501,27.247696645527466,6145.281063010132,132.755822762282,-117.47809890566545,250.23392166794747,81.81286914588807,-51.40299394988327,84.75233322231763,-69.76590282338897,478.9745896383494,64.62049316704763,26.118179229220456,30.299622376038215,173.85208036185577,82.34946130755476,166.99580575844178,92.94901138845054
3,0.07252246451274912,0.012547239572336713,0.0017517946496287962,31693.075471257947,-24.746876762832137,87.71507744885477,24.03346033911344,9152.182612291223,157.18079889087593,-200.44182739998786,357.62262629086376,86.21021627965047,-68.31546492989766,96.5024807663095,-139.38771111308543,512.1471522761476,68.42606967370777,29.507980154981652,25.428572898844767,169.55329789238888,93.18463209735326,166.78383448806767,111.70123178509667
1,0.05728277146243296,0.010327721218247352,0.0014094339115715909,28008.942985095262,-22.9136357763969,84.6125679094857,25.101287545783862,8379.599023643374,147.3262059799135,-183.33429674717183,330.6605027270853,86.4494606319139,-89.40458294449485,88.62123742245333,-126.80569360516168,460.9402309794242,71.1958060575495,23.17966147294282,37.242885143293094,177.74338286468733,72.59889375096802,177.3134531820238,83.32248651735009
1,0.025039890458764317,0.004195848415294909,5.585471335413866e-4,7105.371614281176,-5.1830660754373294,75.26491034820158,25.955234982463026,7129.933685820741,142.78439544346327,-141.98185562381985,284.7662510672831,84.33086495134567,-66.59874793356062,90.37489838976697,-90.86243011009947,455.67323904603774,67.254014905005,22.892299965228545,36.3368569480388,175.21496078603388,71.62404119032539,172.12333776778254,83.08847054340649
2,0.04304668985562852,0.006233480010673021,7.490632283850627e-4,8499.051737279835,3.076537685869204,64.4635924649796,24.86638738453207,6524.422537031227,137.57800760724928,-118.09051984420448,255.66852745145374,86.29804469403453,-52.00387644612695,90.74659289068772,-74.69954304739049,488.10971363022884,65.26707842259829,23.749708674899434,32.50300718228237,181.2414561263313,78.67524615721678,174.5980347680065,97.73441204428855
1,0.0599925011737029,0.008571394479749727,9.478002922365547e-4,7494.087088323586,2.1510201190905933,55.7287302992237,22.316280253933364,6422.366851793923,130.8707076259942,-111.26282081708355,242.13352844307775,84.33582322592275,-20.739197999649537,88.10280183203551,-74.77033639431713,525.4593833985273,63.64699071638762,25.531331597849814,27.689858890634415,181.63577579545455,84.55790461009795,177.09260042948955,117.26525916076453
4,0.3111313173725422,0.041853969433262764,0.004452733722369758,29349.12923149078,9.843193741399643,54.198489214441125,23.968909086904908,5887.405955460389,138.08690634822875,-84.76401291744574,222.8509192656745,-22.147352472463663,30.799675566806695,91.75034076594793,-57.355749318703744,890.6575722599705,110.73556363547459,42.51742395626819,25.702879985058544,287.4485684562504,146.42116926139374,184.13180948760555,262.22848915893536
4,0.6014390526684111,0.08564546804300285,0.008992069859292373,58572.006521726806,-9.73030672806267,65.33344171986366,23.124041471022096,7218.310623699579,139.50933627576356,-135.5979297686135,275.10726604437707,-25.524342487925004,-18.005760364669925,89.0297896837155,-96.04997085131352,630.8299515222966,71.4206302955849,33.333162959333606,22.20980547446129,190.56874894845916,108.57144617810813,165.7047998664177,176.42753831855282
5,0.5169533774045534,0.08190603266885495,0.010065653207611403,68577.93447785392,-29.1604297548456,75.81493656618707,23,8446.955566328503,139.80361696639255,-183.43839851552744,323.24201548191996,42.09109518306494,-50.41396452527918,84.5694007070969,-132.5699612849846,580.2382890903102,69.87750297698261,34.525043601340755,20.61195709107759,175.5602569542668,107.14435539821027,171.6241251054596,147.08681618014418
